Container is store 10000 languages:
Cartoon: name = ExRQwvmycn  year = 1945  legacy = PUPPET, calculation = 194.5
Documentary: name = QECyxDHBNk  year = 1945  duration = 24 , calculation = 194.5
Documentary: name = FAyHEOuOYX  year = 1945  duration = 5 , calculation = 194.5
Cartoon: name = sjhbbIhHOw  year = 1945  legacy = DRAW, calculation = 194.5
Documentary: name = lNhLnVfKyV  year = 1945  duration = 5 , calculation = 194.5
Documentary: name = BUQUODSbun  year = 1945  duration = 47 , calculation = 194.5
Documentary: name = XmZdnivXox  year = 1945  duration = 21 , calculation = 194.5
Cartoon: name = nJGdOydDVe  year = 1945  legacy = PUPPET, calculation = 194.5
Fiction: name = HNqkKAMszv  year = 1945  director = crrBBeMOW , quotient = 194.5
Documentary: name = RZBkmbEriP  year = 1945  duration = 98 , calculation = 194.5
Documentary: name = aIimpwPofc  year = 1945  duration = 94 , calculation = 194.5
Fiction: name = PjJHROUZDm  year = 1945  director = IFrMj , quotient = 194.5
Fiction: name = WBmUUClZit  year = 1945  director = mpZunIpCTd , quotient = 194.5
Fiction: name = tjysAHEKVJ  year = 1945  director = OmSXZHh , quotient = 194.5
Cartoon: name = XQiilrZzQg  year = 1945  legacy = DRAW, calculation = 194.5
Documentary: name = nsNYoDmFvZ  year = 1945  duration = 64 , calculation = 194.5
Documentary: name = hRpCjRiagB  year = 1945  duration = 34 , calculation = 194.5
Documentary: name = epVDNWIRXg  year = 1946  duration = 64 , calculation = 194.6
Documentary: name = fVxKWdOgzK  year = 1946  duration = 66 , calculation = 194.6
Documentary: name = ypXLKQxADg  year = 1946  duration = 89 , calculation = 194.6
Documentary: name = wprgxaOSUR  year = 1946  duration = 51 , calculation = 194.6
Cartoon: name = BzuagUyCLL  year = 1946  legacy = PUPPET, calculation = 194.6
Cartoon: name = VPbPdMEUvA  year = 1946  legacy = DRAW, calculation = 194.6
Fiction: name = eIrdaDHWsn  year = 1946  director = iaNzFrviHE , quotient = 194.6
Fiction: name = wHeeJEgUls  year = 1946  director = eZPMUeywog , quotient = 194.6
Documentary: name = OPjdLXmrNu  year = 1946  duration = 62 , calculation = 194.6
Documentary: name = BXDXIwBynY  year = 1946  duration = 81 , calculation = 194.6
Cartoon: name = ynCDHmzXiG  year = 1946  legacy = DRAW, calculation = 194.6
Cartoon: name = xRqyBuItyo  year = 1946  legacy = PUPPET, calculation = 194.6
Fiction: name = odPcMEzflC  year = 1946  director = vfjhrPHKA , quotient = 194.6
Documentary: name = gfOLRCKOnT  year = 1946  duration = 20 , calculation = 194.6
Cartoon: name = KneyCiqoms  year = 1946  legacy = PUPPET, calculation = 194.6
Documentary: name = yFwCvfteOt  year = 1946  duration = 56 , calculation = 194.6
Cartoon: name = ozMnRObWJK  year = 1946  legacy = PLASTICINE, calculation = 194.6
Documentary: name = QCDbSqxpay  year = 1946  duration = 41 , calculation = 194.6
Fiction: name = OKxpLlWYTF  year = 1947  director = ZecIPdCV , quotient = 194.7
Documentary: name = hxTQZigqmS  year = 1947  duration = 69 , calculation = 194.7
Fiction: name = KQyqKiXutF  year = 1947  director = SpVvCpr , quotient = 194.7
Documentary: name = gVaImhqSkw  year = 1947  duration = 50 , calculation = 194.7
Fiction: name = fMoUWcyVZN  year = 1947  director = NzygYQ , quotient = 194.7
Documentary: name = qVvJLgGxRu  year = 1947  duration = 70 , calculation = 194.7
Fiction: name = DFMpkjiiJM  year = 1947  director = TrVUoxiTj , quotient = 194.7
Fiction: name = htLuUcwrsB  year = 1947  director = FOWpklqdvB , quotient = 194.7
Cartoon: name = XPktltLySa  year = 1947  legacy = DRAW, calculation = 194.7
Cartoon: name = DyWLnnVFlg  year = 1947  legacy = DRAW, calculation = 194.7
Documentary: name = rznfOuUqfW  year = 1947  duration = 22 , calculation = 194.7
Fiction: name = mBdwepZMnD  year = 1947  director = PYIvnus , quotient = 194.7
Documentary: name = PlpfUqNkRl  year = 1947  duration = 66 , calculation = 194.7
Cartoon: name = XDBwChPpmf  year = 1947  legacy = DRAW, calculation = 194.7
Fiction: name = UBjtpzZhUU  year = 1947  director = jlykPMftk , quotient = 194.7
Cartoon: name = UpPptMQaHG  year = 1948  legacy = PLASTICINE, calculation = 194.8
Cartoon: name = UcapBYmJhy  year = 1948  legacy = DRAW, calculation = 194.8
Documentary: name = tYuixuwYHE  year = 1948  duration = 13 , calculation = 194.8
Documentary: name = WUXBZgTBqq  year = 1948  duration = 75 , calculation = 194.8
Fiction: name = evHfuoISdf  year = 1948  director = rCBdwPXx , quotient = 194.8
Cartoon: name = wZSGJjdaQG  year = 1948  legacy = PLASTICINE, calculation = 194.8
Cartoon: name = DqZJwqjBDt  year = 1948  legacy = DRAW, calculation = 194.8
Documentary: name = czZthdDbui  year = 1948  duration = 85 , calculation = 194.8
Fiction: name = pbEkZdCBIl  year = 1948  director = bcIMnEmHXU , quotient = 194.8
Cartoon: name = YVzdQRIusZ  year = 1948  legacy = DRAW, calculation = 194.8
Documentary: name = rWlytFcjws  year = 1948  duration = 44 , calculation = 194.8
Cartoon: name = xsJUvsqCme  year = 1948  legacy = PUPPET, calculation = 194.8
Cartoon: name = SXdunQdWey  year = 1948  legacy = DRAW, calculation = 194.8
Cartoon: name = EANXkaamtI  year = 1948  legacy = DRAW, calculation = 194.8
Cartoon: name = lJbcufdoDE  year = 1948  legacy = PLASTICINE, calculation = 194.8
Documentary: name = oyafmyENtU  year = 1948  duration = 32 , calculation = 194.8
Documentary: name = IDdnFTbbRY  year = 1948  duration = 51 , calculation = 194.8
Fiction: name = pFTpGVadIW  year = 1948  director = YSYjy , quotient = 194.8
Cartoon: name = UWCJCZyUZh  year = 1949  legacy = DRAW, calculation = 194.9
Documentary: name = taUqaSjmhC  year = 1949  duration = 23 , calculation = 194.9
Fiction: name = HFJReFehey  year = 1949  director = pEebMAMmVI , quotient = 194.9
Fiction: name = XgOgZUOpte  year = 1949  director = uhfCTnCoax , quotient = 194.9
Documentary: name = ZBQGolHGlC  year = 1949  duration = 87 , calculation = 194.9
Documentary: name = gMspuCRHzx  year = 1949  duration = 37 , calculation = 194.9
Cartoon: name = HzNAAvcktE  year = 1949  legacy = PLASTICINE, calculation = 194.9
Documentary: name = wEtVZxIxRh  year = 1949  duration = 75 , calculation = 194.9
Cartoon: name = HEWTjrqVat  year = 1949  legacy = PLASTICINE, calculation = 194.9
Cartoon: name = NiezQQMfXX  year = 1949  legacy = PUPPET, calculation = 194.9
Cartoon: name = KIhRYLCZeB  year = 1949  legacy = PUPPET, calculation = 194.9
Fiction: name = MQInWnCGVd  year = 1949  director = APRgvzgIe , quotient = 194.9
Cartoon: name = CkcCwMwnZY  year = 1949  legacy = PUPPET, calculation = 194.9
Cartoon: name = WdldyMCfLp  year = 1949  legacy = DRAW, calculation = 194.9
Documentary: name = huaICMEigP  year = 1949  duration = 33 , calculation = 194.9
Fiction: name = QmCcUnIFWN  year = 1949  director = NaIURnI , quotient = 194.9
Documentary: name = alKzDSwvqd  year = 1949  duration = 52 , calculation = 194.9
Cartoon: name = gUApDCjtle  year = 1949  legacy = PLASTICINE, calculation = 194.9
Documentary: name = OVnZAbivCK  year = 1949  duration = 72 , calculation = 194.9
Fiction: name = EIDEnPmqAU  year = 1949  director = FnIhPvGJy , quotient = 194.9
Fiction: name = PpatgmgSik  year = 1949  director = SHbGcrq , quotient = 194.9
Fiction: name = wtECpNyugv  year = 1950  director = vjetZvp , quotient = 195.0
Documentary: name = rcdVdzDyWe  year = 1950  duration = 85 , calculation = 195.0
Fiction: name = bTgrGpaVEF  year = 1950  director = NKZOMQBE , quotient = 195.0
Documentary: name = qRTrFmgGey  year = 1950  duration = 83 , calculation = 195.0
Documentary: name = NBATWxlHOA  year = 1950  duration = 33 , calculation = 195.0
Fiction: name = IJykkWCObz  year = 1950  director = SnnOJTFpF , quotient = 195.0
Documentary: name = MlmgrLqybi  year = 1950  duration = 68 , calculation = 195.0
Fiction: name = ZIAeAFRswK  year = 1950  director = CuMcq , quotient = 195.0
Documentary: name = sZfhSHXGTD  year = 1950  duration = 98 , calculation = 195.0
Fiction: name = JNKZRcAzmY  year = 1950  director = FueEDzx , quotient = 195.0
Fiction: name = naaWoiBNLF  year = 1950  director = MZBLEa , quotient = 195.0
Documentary: name = jCcxLLukMd  year = 1950  duration = 72 , calculation = 195.0
Cartoon: name = gfgBjvsxjb  year = 1950  legacy = DRAW, calculation = 195.0
Fiction: name = frNWdxIYZG  year = 1950  director = SNhxXbfE , quotient = 195.0
Cartoon: name = xTttBvqhNU  year = 1950  legacy = PUPPET, calculation = 195.0
Fiction: name = PhOoAjOKGD  year = 1950  director = aMgGVf , quotient = 195.0
Documentary: name = vwutTLnjsq  year = 1950  duration = 96 , calculation = 195.0
Cartoon: name = GAdKzNIkrh  year = 1950  legacy = DRAW, calculation = 195.0
Cartoon: name = tfyDeBdyHt  year = 1951  legacy = DRAW, calculation = 195.1
Cartoon: name = mBPOnVmwSs  year = 1951  legacy = PUPPET, calculation = 195.1
Fiction: name = GNuanYfbsG  year = 1951  director = XgzrSU , quotient = 195.1
Documentary: name = TwEpHIyIPk  year = 1951  duration = 77 , calculation = 195.1
Fiction: name = CTPLqnPGhv  year = 1951  director = mrgLv , quotient = 195.1
Documentary: name = wcARAeTtgL  year = 1951  duration = 98 , calculation = 195.1
Cartoon: name = YMQjmtIstu  year = 1951  legacy = DRAW, calculation = 195.1
Documentary: name = hLuPJRVDLy  year = 1951  duration = 61 , calculation = 195.1
Documentary: name = ohyVcRNhMz  year = 1951  duration = 89 , calculation = 195.1
Cartoon: name = PyGAAzHczl  year = 1951  legacy = DRAW, calculation = 195.1
Fiction: name = UiSIpDCMEb  year = 1951  director = CxoqMmqTw , quotient = 195.1
Cartoon: name = vtaUuMBMtO  year = 1951  legacy = DRAW, calculation = 195.1
Cartoon: name = zFseMvPuCR  year = 1951  legacy = PUPPET, calculation = 195.1
Cartoon: name = LdOotJWSkX  year = 1951  legacy = PUPPET, calculation = 195.1
Fiction: name = szhITHgNZT  year = 1951  director = pzzyZaC , quotient = 195.1
Documentary: name = pQNPugNQKc  year = 1951  duration = 57 , calculation = 195.1
Fiction: name = fqUtJioysR  year = 1951  director = xmeBPWRzJ , quotient = 195.1
Cartoon: name = JBxWdByYem  year = 1951  legacy = DRAW, calculation = 195.1
Cartoon: name = hHSBHTBrMq  year = 1951  legacy = DRAW, calculation = 195.1
Fiction: name = jRYpbdoLJp  year = 1952  director = fjSnPZFt , quotient = 195.2
Cartoon: name = qGbhIPrbYP  year = 1952  legacy = DRAW, calculation = 195.2
Cartoon: name = MbcZBBCHgS  year = 1952  legacy = PLASTICINE, calculation = 195.2
Documentary: name = yNECueHOLX  year = 1952  duration = 40 , calculation = 195.2
Cartoon: name = fKgGzadLlW  year = 1952  legacy = DRAW, calculation = 195.2
Documentary: name = QElxBrfZlf  year = 1952  duration = 76 , calculation = 195.2
Cartoon: name = teQrjtKEDi  year = 1952  legacy = DRAW, calculation = 195.2
Documentary: name = HZgYtrylTu  year = 1952  duration = 95 , calculation = 195.2
Cartoon: name = uiWPVUPcjq  year = 1952  legacy = PUPPET, calculation = 195.2
Fiction: name = mSVhZbMsot  year = 1952  director = klSVtphZkC , quotient = 195.2
Documentary: name = TBKBRfzKjM  year = 1952  duration = 67 , calculation = 195.2
Documentary: name = ltpPAcAWup  year = 1952  duration = 82 , calculation = 195.2
Cartoon: name = IRzOUTnDDt  year = 1952  legacy = DRAW, calculation = 195.2
Fiction: name = IbTCIudXJS  year = 1952  director = gYvOqFHvp , quotient = 195.2
Documentary: name = ZEBHPtfblc  year = 1952  duration = 70 , calculation = 195.2
Fiction: name = nribIWVZZx  year = 1952  director = HUFSBE , quotient = 195.2
Cartoon: name = UPqlolvatw  year = 1952  legacy = DRAW, calculation = 195.2
Cartoon: name = EPUPlHYteM  year = 1952  legacy = DRAW, calculation = 195.2
Cartoon: name = rfKhlVTlNq  year = 1953  legacy = DRAW, calculation = 195.3
Documentary: name = KgqOynlNuY  year = 1953  duration = 89 , calculation = 195.3
Documentary: name = OQOFIvXUAC  year = 1953  duration = 77 , calculation = 195.3
Cartoon: name = ixdCHIBkvU  year = 1953  legacy = PUPPET, calculation = 195.3
Fiction: name = FQBWatdkjQ  year = 1953  director = mIuPBr , quotient = 195.3
Fiction: name = OGAxIpjwvH  year = 1953  director = EIregxc , quotient = 195.3
Fiction: name = SbbBMhIfgT  year = 1953  director = tnNfuJBez , quotient = 195.3
Documentary: name = XrQZrvouyG  year = 1953  duration = 83 , calculation = 195.3
Fiction: name = RYJrXLKXlL  year = 1953  director = wUNCjpeVV , quotient = 195.3
Documentary: name = CIQVpEzYXk  year = 1953  duration = 47 , calculation = 195.3
Cartoon: name = ozfbXUfGAM  year = 1953  legacy = DRAW, calculation = 195.3
Documentary: name = JxCElRZNdM  year = 1953  duration = 21 , calculation = 195.3
Fiction: name = pWYoHHOPyX  year = 1953  director = KzABNPLOr , quotient = 195.3
Cartoon: name = zjsYHetofl  year = 1953  legacy = PLASTICINE, calculation = 195.3
Fiction: name = STBUasqhOF  year = 1953  director = UiHjxKgiF , quotient = 195.3
Cartoon: name = xvFVQRTVDd  year = 1953  legacy = PLASTICINE, calculation = 195.3
Fiction: name = EkPEzAwjcd  year = 1953  director = yJFHqZnhR , quotient = 195.3
Documentary: name = OgBxDUkxuf  year = 1953  duration = 69 , calculation = 195.3
Documentary: name = iZpTqxDmrp  year = 1953  duration = 22 , calculation = 195.3
Cartoon: name = ihKlxsnbJB  year = 1953  legacy = PUPPET, calculation = 195.3
Documentary: name = wugilGASYN  year = 1953  duration = 80 , calculation = 195.3
Cartoon: name = HfrjypoTUi  year = 1953  legacy = PUPPET, calculation = 195.3
Fiction: name = izmUAyNqsw  year = 1953  director = bWXLyg , quotient = 195.3
Cartoon: name = ytTiglovtu  year = 1953  legacy = PUPPET, calculation = 195.3
Documentary: name = OOEZCFHKQw  year = 1953  duration = 51 , calculation = 195.3
Documentary: name = lVJefpGsKf  year = 1953  duration = 80 , calculation = 195.3
Documentary: name = durEGsJyHk  year = 1953  duration = 37 , calculation = 195.3
Cartoon: name = vOChxEsvQd  year = 1953  legacy = PLASTICINE, calculation = 195.3
Cartoon: name = ttqolXcJsr  year = 1953  legacy = DRAW, calculation = 195.3
Documentary: name = uNotCpDSUA  year = 1953  duration = 31 , calculation = 195.3
Fiction: name = ItZprYXQTa  year = 1953  director = tPtmQ , quotient = 195.3
Cartoon: name = UFosBNzGQj  year = 1953  legacy = PLASTICINE, calculation = 195.3
Fiction: name = QXEoxcavbC  year = 1954  director = jAnSAjedl , quotient = 195.4
Cartoon: name = pvKOxdKEuS  year = 1954  legacy = PLASTICINE, calculation = 195.4
Cartoon: name = cDhqCHKZLz  year = 1954  legacy = PUPPET, calculation = 195.4
Documentary: name = OstFVSVmRz  year = 1954  duration = 24 , calculation = 195.4
Documentary: name = stpJOkrMiV  year = 1954  duration = 85 , calculation = 195.4
Documentary: name = gjVNXULqUe  year = 1954  duration = 34 , calculation = 195.4
Fiction: name = wFgliVCMlJ  year = 1954  director = FsBuFsjd , quotient = 195.4
Cartoon: name = NfnHlcQuol  year = 1954  legacy = PUPPET, calculation = 195.4
Cartoon: name = jqKwiYXdQf  year = 1954  legacy = PLASTICINE, calculation = 195.4
Documentary: name = zwgvAiIian  year = 1954  duration = 86 , calculation = 195.4
Cartoon: name = UYQQJgCnIu  year = 1954  legacy = DRAW, calculation = 195.4
Fiction: name = brpRvpUWrn  year = 1954  director = LTWhVLg , quotient = 195.4
Documentary: name = bSqIbYDNsY  year = 1954  duration = 76 , calculation = 195.4
Fiction: name = HQuxQtLiRh  year = 1954  director = eKPzW , quotient = 195.4
Fiction: name = wgFiIJjJmY  year = 1954  director = vapijSTMN , quotient = 195.4
Fiction: name = gjGMRRSBFs  year = 1954  director = nQEcIcdYa , quotient = 195.4
Cartoon: name = PErJzBVedL  year = 1954  legacy = DRAW, calculation = 195.4
Documentary: name = PSOPcDLaaV  year = 1954  duration = 48 , calculation = 195.4
Fiction: name = euPozVEBfP  year = 1954  director = uYltMfwSrQ , quotient = 195.4
Fiction: name = GvadBGXThh  year = 1954  director = XcUmLcdlAz , quotient = 195.4
Cartoon: name = tuPbDzyEfI  year = 1954  legacy = PLASTICINE, calculation = 195.4
Documentary: name = mfIaFIOEGD  year = 1955  duration = 80 , calculation = 195.5
Fiction: name = jPgJUCqLFX  year = 1955  director = yUteK , quotient = 195.5
Fiction: name = gmSNytPtJS  year = 1955  director = OjEiwiu , quotient = 195.5
Documentary: name = cbEDdIoQEj  year = 1955  duration = 88 , calculation = 195.5
Documentary: name = bqIRJpJOsT  year = 1955  duration = 62 , calculation = 195.5
Documentary: name = qttjOqYAvW  year = 1955  duration = 50 , calculation = 195.5
Fiction: name = ULKJKgOtYV  year = 1955  director = vFegVs , quotient = 195.5
Cartoon: name = cOiMxmTowv  year = 1955  legacy = PLASTICINE, calculation = 195.5
Cartoon: name = NolKBuAQTc  year = 1955  legacy = DRAW, calculation = 195.5
Documentary: name = LkTLBDWDRP  year = 1955  duration = 45 , calculation = 195.5
Fiction: name = fZeQmbSrJY  year = 1955  director = tBFKJK , quotient = 195.5
Documentary: name = IcYUqQoHfC  year = 1955  duration = 20 , calculation = 195.5
Cartoon: name = TxwliJPtGK  year = 1955  legacy = PUPPET, calculation = 195.5
Fiction: name = kQtMRlozwo  year = 1955  director = KVqkh , quotient = 195.5
Cartoon: name = NuYiUsfsDz  year = 1955  legacy = PUPPET, calculation = 195.5
Fiction: name = hMniXZIyDX  year = 1955  director = xjytWHKCZd , quotient = 195.5
Cartoon: name = vlIiYmdfbC  year = 1955  legacy = PUPPET, calculation = 195.5
Cartoon: name = RsypuqAVOp  year = 1955  legacy = PLASTICINE, calculation = 195.5
Documentary: name = eeNZPJjFRl  year = 1955  duration = 83 , calculation = 195.5
Fiction: name = fYQgeHsqhH  year = 1955  director = hzbcjJrH , quotient = 195.5
Fiction: name = jclyeuoFSW  year = 1955  director = Qswls , quotient = 195.5
Fiction: name = qEVEVHKwrC  year = 1955  director = PQWaSSZC , quotient = 195.5
